"name","artist","cluster_id"
"Bezzle","{T.I.,8Ball,MJG,""Bun B""}",0
"Ackan","{Sido,""Dillon Cooper""}",0
"Gürtel am Arm","{Sido}",0
"More & More (feat. Jeezy)","{T.I.}",0
"Selfie","{Sido}",0
"Lolita","{""Lana Del Rey""}",0
"Zu wahr","{Sido}",0
"30-11-80 (feat. Eko Fresh, Lakman, Laas Unltd., Nazar, Frauenarzt, Manny Marc, Bushido, BK, Olli Banjo, Tarek, Smudo, Erick Sermon, MoTrip, Moses Pelham, B.S.H, Afrob, Dr. Renz & B-Tight)","{Sido}",0
"Laugh At Em","{T.I.}",0
"Einer Dieser Steine (feat. Mark Forster)","{Sido}",0
"I Can’t Quit","{T.I.}",0
"Für ewig","{Sido}",0
"Zuhause ist die Welt noch in Ordnung","{Sido,""Adel Tawil""}",0
"Vom Frust der Reichen","{Sido}",0
"King of da South","{T.I.}",0
"Mouth of the River","{""Imagine Dragons""}",1
"Of Moons, Birds & Monsters","{MGMT}",1
"Run (live at Somerset House)","{""Snow Patrol""}",1
"Dangerous and Moving","{t.A.T.u.}",1
"Flowerball","{""The Wombats""}",1
"The Girl in the Dirty Shirt (Mustique demo)","{Oasis}",1
"Hopeless Opus","{""Imagine Dragons""}",1
"Guiding Light","{Muse}",1
"Leaves","{""Son Lux""}",1
"Slide Away (Remastered 2016)","{""The Verve""}",1
"Longview","{""Green Day""}",1
"Sticky Teenage Twin","{""Snow Patrol""}",1
"Last Ride In","{""Green Day""}",1
"The Invisible Man","{Queen}",1
"Get Balsamic Vinegar… Quick You Fool","{""Snow Patrol""}",1
"Dream State","{""Son Lux""}",2
"Enough Is Enough","{""Post Malone""}",2
"HIGHEST IN THE ROOM","{""Travis Scott""}",2
"STOP TRYING TO BE GOD","{""Travis Scott""}",2
"THANK GOD","{""Travis Scott""}",2
"Spaceship Coupe","{""Justin Timberlake""}",2
"False Confidence","{""Noah Kahan""}",2
"The Dark Dresses Lightly","{AURORA}",2
"Black Bathing Suit","{""Lana Del Rey""}",2
"Your Heart Home","{""Snow Patrol""}",2
"Sweetest Devotion","{Adele}",2
"Money Make Her Smile","{""Bruno Mars""}",2
"Carmen","{""Lana Del Rey""}",2
"Winner","{""Ellie Goulding""}",2
"Fire in These Hills","{""Imagine Dragons""}",2
"Angels","{Khalid}",3
"I See You","{""Aimee Mann""}",3
"For You","{""Laura Marling""}",3
"Voyage Voyage","{Soap,Skin}",3
"The Shadows","{""Laura Marling""}",3
"Don't Let Me Be Misunderstood","{""Lana Del Rey""}",3
"You're Not Sorry","{""Taylor Swift""}",3
"Young","{""Son Lux""}",3
"Lay Me Down","{Adele}",3
"Shapes","{SHAED}",3
"Grace","{Florence,""the Machine""}",3
"Run Run Run","{""Kelly Clarkson"",""John Legend""}",3
"Lost","{Soap,Skin}",3
"And Love","{Florence,""the Machine""}",3
"Oceans Away","{""Elton John""}",3
"South of the Border","{""Ed Sheeran"",""Camila Cabello"",""Cardi B""}",4
"Letter to My Son","{""Roddy Ricch""}",4
"Belly of the Beast","{""Roddy Ricch""}",4
"Skeletons","{""Ed Sheeran""}",4
"Under the Circus Lights","{""Owl City""}",4
"Forever","{""Justin Bieber"",""Post Malone"",Clever}",4
"DOLLA SIGN SLIME","{""Lil Nas X"",""Megan Thee Stallion""}",4
"Trigger","{Anne-Marie}",4
"Switch Lanes","{Tyga,""The Game""}",4
"obvious","{""Ariana Grande""}",4
"Toscana Fanboys","{""Peter Fox"",""Adriano Celentano""}",4
"Some Kind of Drug","{G‐Eazy,""Marc E. Bassy""}",4
"Used to Love You","{Anne-Marie}",4
"5 Star (feat. Gunna)","{""Wiz Khalifa""}",4
"LUNCH","{""Billie Eilish""}",4
"Day Too Soon (Album Version)","{Sia}",5
"Chained","{""The xx""}",5
"This Could Be a Dream","{AURORA}",5
"Because I Had You","{""Shawn Mendes""}",5
"No Mistakes","{Ye}",5
"I Was a Teenage Teenager","{""Green Day""}",5
"Eye of the Needle","{Sia}",5
"Money Slidin","{B.o.B,""TTO K.T."",Jace}",5
"Stream Of Consciousness","{""Lola Young""}",5
"i just wanna fucking cry","{""San Holo"",""The Nicholas""}",5
"Easy Come Easy Go","{""Imagine Dragons""}",5
"You Let Me Down","{""Alessia Cara""}",5
"Cool Out","{""Imagine Dragons""}",5
"I Can’t Be Myself","{""Justin Bieber"",Jaden}",5
"Florida!!!","{""Taylor Swift"",Florence,""the Machine""}",5
"Better Than This","{Keane}",6
"Clear","{""twenty one pilots""}",6
"These Days","{""Take That""}",6
"Criminal World","{""David Bowie""}",6
"Starlight","{Muse}",6
"Afternoon High","{a‐ha}",6
"Co-Pilot","{""Andy Grammer""}",6
"Breakout","{""Miley Cyrus""}",6
"Cachito Bandito","{""Mr. President""}",6
"G.N.O. (Girl’s Night Out)","{""Miley Cyrus""}",6
"Dollar Signs","{""Calvin Harris"",Tinashe}",6
"Red Light Indicates Doors Are Secured","{""Arctic Monkeys""}",6
"Spinning the Wheel (radio edit)","{""George Michael""}",6
"Watch Out","{ABBA}",6
"Crystal Ball","{Keane}",6
"Rock 'n' Roll Star","{Oasis}",7
"Be Here Now","{Oasis}",7
"Stone Cold Crazy","{Queen}",7
"Geek Stink Breath (live at the Electric Factory, Philadelphia 11/14/97)","{""Green Day""}",7
"Warriors","{""Imagine Dragons""}",7
"Minority (live at Irving Plaza, New York, NY, 9/21/04)","{""Green Day""}",7
"Rock ’n’ Roll Star","{Oasis}",7
"Bring It On Down (Monnow Valley version)","{Oasis}",7
"Digsy’s Dinner","{Oasis}",7
"Expectation","{""Tame Impala""}",7
"Velvet Morning (Live At Haigh Hall, Wigan / 24th May 1998)","{""The Verve""}",7
"Pretty Sweet","{""Frank Ocean""}",7
"Until the Night Turns","{""Lord Huron""}",7
"Toy Boy (live)","{MIKA}",7
"Cigarettes & Alcohol","{Oasis}",7
"How I Learned to Love the Bomb","{""Glass Animals""}",8
"Tokyo Drifting","{""Glass Animals"",""Denzel Curry""}",8
"Monster","{""Shawn Mendes"",""Justin Bieber""}",8
"Love Is Back","{Celeste}",8
"My Darling (Album Version)","{Eminem}",8
"Feel No Pain","{Sade}",8
"Hinter dem Mond","{Bosse}",8
"Guyanese Moshpit","{""SAINt JHN""}",8
"Sing for the Moment","{Eminem}",8
"Lost","{""Frank Ocean""}",8
"(Isn’t It) Obvious","{""Alessia Cara""}",8
"The Defeat","{""Ben Howard""}",8
"Sports Car","{""Tate McRae""}",8
"Hey Hey Hey","{""Katy Perry""}",8
"Higher Power","{Coldplay}",8
"We’ll Be Coming Back","{""Calvin Harris"",Example}",9
"Weapons","{""Ava Max""}",9
"You Are My Diamond","{Tiesto,""Kianna Alarid""}",9
"Techno Fan","{""The Wombats""}",9
"Aura","{""Lady Gaga""}",9
"Where Have You Been","{Rihanna}",9
"Learn How to Surf","{""Owl City""}",9
"LoveDrug","{""Lady Gaga""}",9
"Superheroes","{""Daft Punk"",""Barry Manilow"",""Marty Panzer""}",9
"All I Want Is You","{""Justin Bieber""}",9
"Watch n’ Learn","{Rihanna}",9
"Cruel Summer","{""Ace of Base""}",9
"I Can't Get Enough","{""Mr. President""}",9
"Last Night on Earth","{""Ava Max""}",9
"Tokyo Girl","{""Ace of Base""}",9
"English Tea","{""Paul McCartney""}",10
"Good News","{Lena}",10
"Jimmy","{""Tones and I""}",10
"Somewhere in Brooklyn","{""Bruno Mars""}",10
"TODO","{""Becky G"",Delilah}",10
"Das Paradies (Akustisch)","{Bosse}",10
"Intro","{""Chris Brown""}",10
"Sweet but Psycho (acoustic)","{""Ava Max""}",10
"ICU (Madison’s Lullabye)","{""Demi Lovato""}",10
"Sweet Heroine","{YUNGBLUD}",10
"Moving","{""Ed Sheeran""}",10
"Power Couple","{Labrinth}",10
"Sycamore","{""Ed Sheeran""}",10
"House Wren","{""Owl City""}",10
"Teenage Girls","{Lena}",10
"Alien Choir","{Coldplay}",11
"71 Charger (Strings)","{Loreen}",11
"Square One","{Coldplay}",11
"A Short Reprise for Mary Todd, Who Went Insane, but for Very Good Reasons","{""Sufjan Stevens""}",11
"Poison Passion","{""Marit Larsen""}",11
"Only Mama Knows","{""Paul McCartney""}",11
"It's a Beautiful Day","{Queen}",11
"The Wave","{""Patrick Watson""}",11
"Enough","{""Fred again.."",""Brian Eno""}",11
"Opening Station","{""Paul McCartney""}",11
"She’s Out of My Life","{""Michael Jackson""}",11
"M.M.I.X","{Coldplay}",11
"Because","{""The Beatles""}",11
"Let’s Hear That String Part Again, Because I Don’t Think They Heard It All the Way Out in Bushnell","{""Sufjan Stevens""}",11
"My Love, My Life","{ABBA}",11
"What Up, What's Haapnin'","{T.I.}",12
"Survival (Feat. Liz Rodrigues)","{Eminem}",12
"Die for the Hype","{YUNGBLUD}",12
"Turn the Music Up","{NF}",12
"Around U","{""Ellie Goulding""}",12
"Zero","{""Imagine Dragons""}",12
"Starlight (Keep Me Afloat)","{""Martin Garrix"",DubVision,""Shaun Farrugia""}",12
"Dance With Me","{""Kelly Clarkson""}",12
"Treat You Better","{""Shawn Mendes""}",12
"Famous","{""Charli xcx""}",12
"Back Home","{""Andy Grammer""}",12
"If You Want It","{""Take That""}",12
"Hold Me Tight Or Don't","{""Fall Out Boy""}",12
"Take My Hand","{""Charli xcx""}",12
"Heavy Traffic","{""Elton John""}",12
"Satellite","{""Natalie Imbruglia""}",13
"Girl Gone Wild","{Madonna}",13
"She (4‐track demo)","{""Green Day""}",13
"LA NENA","{""Becky G"",""Gabito Ballesteros""}",13
